Id,past_tense,label
1,8,2
2,3,2
3,5,2
4,4,2
5,1,2
6,2,2
7,2,2
8,2,2
9,3,2
10,1,2
11,1,2
12,3,2
13,7,2
14,7,2
15,8,2
16,2,2
17,6,2
18,4,2
19,3,2
20,6,2
21,1,2
22,1,2
23,4,2
24,6,2
25,4,2
26,2,2
27,2,2
28,4,2
29,4,2
30,7,2
31,2,2
32,5,2
33,1,2
34,1,2
35,1,2
36,7,2
37,3,2
38,1,2
39,2,2
40,4,2
41,4,3
42,3,3
43,2,3
44,4,3
45,10,3
46,8,3
47,8,3
48,3,3
49,4,3
50,6,3
51,17,3
52,3,3
53,11,3
54,6,3
55,9,3
56,7,3
57,2,3
58,4,3
59,7,3
60,8,3
61,11,3
62,8,3
63,3,3
64,5,3
65,6,3
66,11,3
67,15,3
68,5,3
69,6,3
70,16,3
71,9,3
72,4,3
73,8,3
74,10,3
75,17,3
76,10,3
77,6,3
78,2,3
79,13,3
80,3,3
81,5,3
82,6,3
83,9,3
84,11,3
85,4,3
86,15,3
87,10,3
88,7,3
89,1,3
90,6,3
91,4,3
92,1,3
93,3,3
94,2,3
95,3,3
96,13,3
97,8,3
98,7,3
99,7,3
100,5,3
101,14,3
102,4,3
103,11,3
104,6,3
105,19,3
106,4,3
107,6,3
108,6,3
109,7,3
110,10,3
111,8,3
112,2,3
113,3,3
114,4,3
115,1,3
116,3,3
117,6,3
118,3,3
119,2,3
120,4,3
121,3,3
122,5,3
123,8,3
124,1,3
125,8,3
126,7,3
127,4,3
128,6,3
129,3,3
130,7,3
131,7,3
132,1,3
133,6,3
134,9,3
135,7,3
136,5,3
137,1,3
138,11,3
139,7,3
140,10,3
141,2,3
142,3,3
143,5,3
144,6,3
145,10,3
146,5,3
147,4,3
148,3,3
149,3,4
150,6,4
151,2,4
152,5,4
153,5,4
154,10,4
155,8,4
156,8,4
157,5,4
158,1,4
159,6,4
160,8,4
161,2,4
162,1,4
163,2,4
164,14,4
165,4,4
166,9,4
167,4,4
168,17,4
169,7,4
170,2,4
171,6,4
172,15,4
173,8,4
174,3,4
175,4,4
176,3,4
177,11,4
178,5,4
179,8,4
180,10,4
181,4,4
182,10,4
183,9,4
184,9,4
185,9,4
186,4,4
187,9,5
188,7,5
189,10,5
190,1,5
191,4,5
192,4,5
193,1,5
194,9,5
195,7,5
196,3,5
197,4,5
198,2,5
199,4,5
200,7,5
201,3,5
202,4,5
203,7,5
204,2,5
205,3,5
206,1,5
207,3,5
208,2,5
209,9,5
210,2,5
211,7,5
212,2,5
213,4,5
214,4,5
215,5,5
216,10,5
217,3,5
218,12,5
219,6,5
220,2,5
221,3,5
222,11,5
223,4,5
224,5,5
225,6,5
226,3,5
227,3,5
