Id,Chinese,label,English
1,8,2,0
2,3,2,43
3,5,2,2
4,4,2,16
5,1,2,20
6,2,2,2
7,2,2,10
8,2,2,1
9,3,2,1
10,1,2,11
11,1,2,2
12,3,2,1
13,7,2,1
14,7,2,1
15,8,2,3
16,2,2,2
17,6,2,0
18,4,2,12
19,3,2,16
20,6,2,5
21,1,2,1
22,1,2,1
23,4,2,0
24,6,2,5
25,4,2,0
26,2,2,0
27,2,2,5
28,4,2,2
29,4,2,1
30,7,2,13
31,2,2,1
32,5,2,0
33,1,2,0
34,1,2,3
35,1,2,0
36,7,2,3
37,3,2,0
38,1,2,0
39,2,2,0
40,4,2,1
41,4,3,2
42,3,3,2
43,2,3,20
44,4,3,12
45,10,3,24
46,8,3,14
47,8,3,7
48,3,3,14
49,4,3,1
50,6,3,18
51,17,3,7
52,3,3,9
53,11,3,13
54,6,3,6
55,9,3,14
56,7,3,7
57,2,3,3
58,4,3,5
59,7,3,9
60,8,3,2
61,11,3,11
62,8,3,5
63,3,3,4
64,5,3,20
65,6,3,6
66,11,3,3
67,15,3,9
68,5,3,0
69,6,3,6
70,16,3,18
71,9,3,30
72,4,3,19
73,8,3,2
74,10,3,7
75,17,3,4
76,10,3,31
77,6,3,19
78,2,3,13
79,13,3,4
80,3,3,14
81,5,3,10
82,6,3,20
83,9,3,0
84,11,3,1
85,4,3,6
86,15,3,8
87,10,3,13
88,7,3,23
89,1,3,17
90,6,3,2
91,4,3,1
92,1,3,8
93,3,3,8
94,2,3,1
95,3,3,10
96,13,3,4
97,8,3,15
98,7,3,4
99,7,3,0
100,5,3,3
101,14,3,18
102,4,3,2
103,11,3,26
104,6,3,3
105,19,3,15
106,4,3,11
107,6,3,9
108,6,3,15
109,7,3,7
110,10,3,0
111,8,3,0
112,2,3,11
113,3,3,0
114,4,3,1
115,1,3,9
116,3,3,42
117,6,3,3
118,3,3,5
119,2,3,12
120,4,3,7
121,3,3,12
122,5,3,12
123,8,3,8
124,1,3,8
125,8,3,3
126,7,3,9
127,4,3,12
128,6,3,15
129,3,3,1
130,7,3,0
131,7,3,11
132,1,3,3
133,6,3,1
134,9,3,1
135,7,3,1
136,5,3,0
137,1,3,2
138,11,3,3
139,7,3,0
140,10,3,11
141,2,3,0
142,3,3,1
143,5,3,23
144,6,3,12
145,10,3,1
146,5,3,0
147,4,3,11
148,3,3,6
149,3,4,3
150,6,4,1
151,2,4,13
152,5,4,15
153,5,4,14
154,10,4,6
155,8,4,14
156,8,4,7
157,5,4,7
158,1,4,13
159,6,4,9
160,8,4,4
161,2,4,0
162,1,4,6
163,2,4,12
164,14,4,20
165,4,4,0
166,9,4,2
167,4,4,21
168,17,4,24
169,7,4,12
170,2,4,0
171,6,4,6
172,15,4,1
173,8,4,14
174,3,4,14
175,4,4,5
176,3,4,14
177,11,4,5
178,5,4,1
179,8,4,4
180,10,4,4
181,4,4,2
182,10,4,15
183,9,4,1
184,9,4,4
185,9,4,21
186,4,4,19
187,9,5,10
188,7,5,19
189,10,5,1
190,1,5,19
191,4,5,19
192,4,5,11
193,1,5,0
194,9,5,17
195,7,5,1
196,3,5,8
197,4,5,2
198,2,5,14
199,4,5,12
200,7,5,7
201,3,5,1
202,4,5,28
203,7,5,1
204,2,5,13
205,3,5,7
206,1,5,0
207,3,5,10
208,2,5,10
209,9,5,13
210,2,5,4
211,7,5,8
212,2,5,3
213,4,5,0
214,4,5,1
215,5,5,14
216,10,5,14
217,3,5,0
218,12,5,20
219,6,5,22
220,2,5,1
221,3,5,9
222,11,5,15
223,4,5,16
224,5,5,15
225,6,5,2
226,3,5,5
227,3,5,9
228,0,1,6
229,0,1,20
230,0,1,25
231,0,1,8
232,0,1,0
233,0,1,16
234,0,1,2
235,0,1,0
236,0,1,3
237,0,1,2
238,0,1,0
239,0,1,1
240,0,1,0
241,0,1,6
242,0,1,0
243,0,1,0
244,0,1,0
245,0,1,0
246,0,1,1
247,0,1,1
248,0,1,5
249,0,1,0
250,0,1,2
251,0,1,6
252,0,1,1
253,0,1,1
254,0,1,2
255,0,1,1
256,0,1,8
257,0,1,11
258,0,1,2
259,0,1,5
260,0,1,2
261,0,1,48
262,0,1,5
263,0,1,9
264,0,1,88
265,0,2,4
266,0,2,4
267,0,2,10
268,0,2,7
269,0,2,19
270,0,2,1
271,0,2,1
272,0,2,0
273,0,2,2
274,0,2,4
275,0,3,2
276,0,3,29
277,0,3,1
278,0,3,0
279,0,3,13
280,0,3,4
281,0,3,4
282,0,3,6
283,0,3,9
