Chinese,label,English
8,2,0
3,2,43
5,2,2
4,2,16
1,2,20
2,2,2
2,2,10
2,2,1
3,2,1
1,2,11
1,2,2
3,2,1
7,2,1
7,2,1
8,2,3
2,2,2
6,2,0
4,2,12
3,2,16
6,2,5
1,2,1
1,2,1
4,2,0
6,2,5
4,2,0
2,2,0
2,2,5
4,2,2
4,2,1
7,2,13
2,2,1
5,2,0
1,2,0
1,2,3
1,2,0
7,2,3
3,2,0
1,2,0
2,2,0
4,2,1
4,3,2
3,3,2
2,3,20
4,3,12
10,3,24
8,3,14
8,3,7
3,3,14
4,3,1
6,3,18
17,3,7
3,3,9
11,3,13
6,3,6
9,3,14
7,3,7
2,3,3
4,3,5
7,3,9
8,3,2
11,3,11
8,3,5
3,3,4
5,3,20
6,3,6
11,3,3
15,3,9
5,3,0
6,3,6
16,3,18
9,3,30
4,3,19
8,3,2
10,3,7
17,3,4
10,3,31
6,3,19
2,3,13
13,3,4
3,3,14
5,3,10
6,3,20
9,3,0
11,3,1
4,3,6
15,3,8
10,3,13
7,3,23
1,3,17
6,3,2
4,3,1
1,3,8
3,3,8
2,3,1
3,3,10
13,3,4
8,3,15
7,3,4
7,3,0
5,3,3
14,3,18
4,3,2
11,3,26
6,3,3
19,3,15
4,3,11
6,3,9
6,3,15
7,3,7
10,3,0
8,3,0
2,3,11
3,3,0
4,2,1
1,2,9
3,2,42
6,2,3
3,2,5
2,2,12
4,2,7
3,2,12
5,2,12
8,2,8
1,2,8
8,2,3
7,2,9
4,2,12
6,2,15
3,2,1
7,2,0
7,2,11
1,2,3
6,2,1
9,2,1
7,2,1
5,2,0
1,2,2
11,2,3
7,2,0
10,2,11
2,2,0
3,2,1
5,2,23
6,2,12
10,2,1
5,2,0
4,2,11
3,2,6
3,4,3
6,4,1
2,4,13
5,4,15
5,4,14
10,4,6
8,4,14
8,4,7
5,4,7
1,4,13
6,4,9
8,4,4
2,4,0
1,4,6
2,4,12
14,4,20
4,4,0
9,4,2
4,4,21
17,4,24
7,4,12
2,4,0
6,4,6
15,4,1
8,4,14
3,4,14
4,4,5
3,4,14
11,4,5
5,4,1
8,4,4
10,4,4
4,4,2
10,4,15
9,4,1
9,4,4
9,4,21
4,4,19
9,4,10
7,4,19
10,4,1
1,4,19
4,4,19
4,4,11
1,4,0
9,4,17
7,4,1
3,4,8
4,4,2
2,4,14
4,4,12
7,4,7
3,4,1
4,4,28
7,4,1
2,4,13
3,4,7
1,4,0
3,4,10
2,4,10
9,4,13
2,4,4
7,4,8
2,4,3
4,4,0
4,4,1
5,4,14
10,4,14
3,4,0
12,4,20
6,4,22
2,4,1
3,4,9
11,4,15
4,4,16
5,4,15
6,4,2
3,4,5
3,4,9
