Chinese,label,English,index
8,2,0,1
3,2,43,2
5,2,2,3
4,2,16,4
1,2,20,5
2,2,2,6
2,2,10,7
2,2,1,8
3,2,1,9
1,2,11,10
1,2,2,11
3,2,1,12
7,2,1,13
7,2,1,14
8,2,3,15
2,2,2,16
6,2,0,17
4,2,12,18
3,2,16,19
6,2,5,20
1,2,1,21
1,2,1,22
4,2,0,23
6,2,5,24
4,2,0,25
2,2,0,26
2,2,5,27
4,2,2,28
4,2,1,29
7,2,13,30
2,2,1,31
5,2,0,32
1,2,0,33
1,2,3,34
1,2,0,35
7,2,3,36
3,2,0,37
1,2,0,38
2,2,0,39
4,2,1,40
4,3,2,1
3,3,2,2
2,3,20,3
4,3,12,4
10,3,24,5
8,3,14,6
8,3,7,7
3,3,14,8
4,3,1,9
6,3,18,10
17,3,7,11
3,3,9,12
11,3,13,13
6,3,6,14
9,3,14,15
7,3,7,16
2,3,3,17
4,3,5,18
7,3,9,19
8,3,2,20
11,3,11,21
8,3,5,22
3,3,4,23
5,3,20,24
6,3,6,25
11,3,3,26
15,3,9,27
5,3,0,28
6,3,6,29
16,3,18,30
9,3,30,31
4,3,19,32
8,3,2,33
10,3,7,34
17,3,4,35
10,3,31,36
6,3,19,37
2,3,13,38
13,3,4,39
3,3,14,40
5,3,10,41
6,3,20,42
9,3,0,43
11,3,1,44
4,3,6,45
15,3,8,46
10,3,13,47
7,3,23,48
1,3,17,49
6,3,2,50
4,3,1,51
1,3,8,52
3,3,8,53
2,3,1,54
3,3,10,55
13,3,4,56
8,3,15,57
7,3,4,58
7,3,0,59
5,3,3,60
14,3,18,61
4,3,2,62
11,3,26,63
6,3,3,64
19,3,15,65
4,3,11,66
6,3,9,67
6,3,15,68
7,3,7,69
10,3,0,70
8,3,0,71
2,3,11,72
3,3,0,73
4,2,1,41
1,2,9,42
3,2,42,43
6,2,3,44
3,2,5,45
2,2,12,46
4,2,7,47
3,2,12,48
5,2,12,49
8,2,8,50
1,2,8,51
8,2,3,52
7,2,9,53
4,2,12,54
6,2,15,55
3,2,1,56
7,2,0,57
7,2,11,58
1,2,3,59
6,2,1,60
9,2,1,61
7,2,1,62
5,2,0,63
1,2,2,64
11,2,3,65
7,2,0,66
10,2,11,67
2,2,0,68
3,2,1,69
5,2,23,70
6,2,12,71
10,2,1,72
5,2,0,73
4,2,11,74
3,2,6,75
3,4,3,1
6,4,1,2
2,4,13,3
5,4,15,4
5,4,14,5
10,4,6,6
8,4,14,7
8,4,7,8
5,4,7,9
1,4,13,10
6,4,9,11
8,4,4,12
2,4,0,13
1,4,6,14
2,4,12,15
14,4,20,16
4,4,0,17
9,4,2,18
4,4,21,19
17,4,24,20
7,4,12,21
2,4,0,22
6,4,6,23
15,4,1,24
8,4,14,25
3,4,14,26
4,4,5,27
3,4,14,28
11,4,5,29
5,4,1,30
8,4,4,31
10,4,4,32
4,4,2,33
10,4,15,34
9,4,1,35
9,4,4,36
9,4,21,37
4,4,19,38
9,4,10,39
7,4,19,40
10,4,1,41
1,4,19,42
4,4,19,43
4,4,11,44
1,4,0,45
9,4,17,46
7,4,1,47
3,4,8,48
4,4,2,49
2,4,14,50
4,4,12,51
7,4,7,52
3,4,1,53
4,4,28,54
7,4,1,55
2,4,13,56
3,4,7,57
1,4,0,58
3,4,10,59
2,4,10,60
9,4,13,61
2,4,4,62
7,4,8,63
2,4,3,64
4,4,0,65
4,4,1,66
5,4,14,67
10,4,14,68
3,4,0,69
12,4,20,70
6,4,22,71
2,4,1,72
3,4,9,73
11,4,15,74
4,4,16,75
5,4,15,76
6,4,2,77
3,4,5,78
3,4,9,79
